net_weight
131.0
164.0
187.0
235.0
213.0
181.0
160.0
161.0
195.0
151.0
159.0
149.0
160.0
137.0
129.0
153.0
171.0
155.0
131.0
118.0
71.0
98.0
90.0
74.0
105.0
114.0
141.0
143.0
129.0
161.0
160.0
174.0
272.0
235.0
260.0
222.0
206.0
177.0
233.0
168.0
367.0
259.0
250.0
147.0
167.0
262.0
318.0
264.0
249.0
254.0
203.0
204.0
392.0
241.0
331.0
343.0
260.0
248.0
261.0
609.0
805.0
617.0
779.0
775.0
501.0
530.0
2201.0
1300.0
1475.0
675.0
1328.0
592.0
521.0
256.0
398.0
330.0
246.0
306.0
239.0
230.0
355.0
277.0
397.0
262.0
349.0
265.0
325.0
372.0
